"219","hit-18.1"
"220","hit-18.1-1"
"221","hold-15.1"
"222","hold-15.1-1"
"223","hunt-35.1"
"224","hurt-40.8.3"
"225","hurt-40.8.3-1"
"226","hurt-40.8.3-1-1"
"227","hurt-40.8.3-2"
"228","illustrate-25.3"
"229","image_impression-25.1"
"230","indicate-78"
"231","indicate-78-1"
"232","indicate-78-1-1"
"233","inquire-37.1.2"
"234","instr_communication-37.4"
"235","investigate-35.4"
"236","judgement-33"
"237","keep-15.2"
"238","knead-26.5"
"239","learn-14"
"240","learn-14-1"
"241","learn-14-2"
"242","learn-14-2-1"
"243","leave-51.2"
"244","leave-51.2-1"
"245","lecture-37.11"
"246","lecture-37.11-1"
"247","lecture-37.11-1-1"
"248","lecture-37.11-2"
"249","light_emission-43.1"
"250","limit-76"
"251","linger-53.1"
"252","linger-53.1-1"
"253","lodge-46"
"254","long-32.2"
"255","long-32.2-1"
"256","long-32.2-2"
"257","manner_speaking-37.3"
"258","marry-36.2"
"259","marvel-31.3"
"260","marvel-31.3-1"
"261","marvel-31.3-2"
"262","marvel-31.3-3"
"263","marvel-31.3-4"
"264","marvel-31.3-5"
"265","marvel-31.3-6"
"266","marvel-31.3-7"
"267","marvel-31.3-8"
"268","marvel-31.3-9"
"269","masquerade-29.6"
"270","masquerade-29.6-1"
"271","masquerade-29.6-2"
"272","matter-91"
"273","meander-47.7"
"274","meet-36.3"
"275","meet-36.3-1"
"276","meet-36.3-2"
"277","mine-10.9"
"278","mix-22.1"
"279","mix-22.1-1"
"280","mix-22.1-1-1"
"281","mix-22.1-2"
"282","mix-22.1-2-1"
"283","modes_of_being_with_motion-47.3"
"284","murder-42.1"
"285","murder-42.1-1"
"286","neglect-75"
"287","neglect-75-1"
"288","neglect-75-1-1"
"289","neglect-75-2"
"290","nonvehicle-51.4.2"
"291","nonverbal_expression-40.2"
"292","obtain-13.5.2"
"293","obtain-13.5.2-1"
"294","occurrence-48.3"
"295","order-60"
"296","order-60-1"
"297","orphan-29.7"
"298","other_cos-45.4"
"299","pain-40.8.1"
"300","pay-68"
"301","peer-30.3"
"302","pelt-17.2"
"303","performance-26.7"
"304","performance-26.7-1"
"305","performance-26.7-1-1"
"306","performance-26.7-2"
"307","performance-26.7-2-1"
"308","pit-10.7"
"309","pocket-9.10"
"310","pocket-9.10-1"
"311","poison-42.2"
"312","poke-19"
"313","pour-9.5"
"314","preparing-26.3"
"315","preparing-26.3-1"
"316","preparing-26.3-2"
"317","price-54.4"
"318","push-12"
"319","push-12-1"
"320","push-12-1-1"
"321","put-9.1"
"322","put-9.1-1"
"323","put-9.1-2"
"324","put_direction-9.4"
"325","put_spatial-9.2"
"326","reach-51.8"
"327","reflexive_appearance-48.1.2"
"328","refrain-69"
"329","register-54.1"
"330","rely-70"
"331","remove-10.1"
"332","risk-94"
"333","risk-94-1"
"334","roll-51.3.1"
"335","rummage-35.5"
"336","run-51.3.2"
"337","rush-53.2"
"338","say-37.7"
"339","say-37.7-1"
"340","say-37.7-1-1"
"341","say-37.7-2"
"342","scribble-25.2"
"343","search-35.2"
"344","see-30.1"
"345","see-30.1-1"
"346","see-30.1-1-1"
"347","send-11.1"
"348","send-11.1-1"
"349","separate-23.1"
"350","separate-23.1-1"
"351","separate-23.1-2"
"352","settle-89"
"353","shake-22.3"
"354","shake-22.3-1"
"355","shake-22.3-1-1"
"356","shake-22.3-2"
"357","shake-22.3-2-1"
"358","sight-30.2"
"359","simple_dressing-41.3.1"
"360","slide-11.2"
"361","slide-11.2-1-1"
"362","smell_emission-43.3"
"363","snooze-40.4"
"364","sound_emission-43.2"
"365","sound_existence-47.4"
"366","spank-18.3"
"367","spatial_configuration-47.6"
"368","split-23.2"
"369","spray-9.7"
"370","spray-9.7-1"
"371","spray-9.7-1-1"
"372","spray-9.7-2"
"373","stalk-35.3"
"374","steal-10.5"
"375","stimulus_subject-30.4"
"376","stop-55.4"
"377","stop-55.4-1"
"378","substance_emission-43.4"
"379","succeed-74"
"380","succeed-74-1"
"381","succeed-74-1-1"
"382","succeed-74-2"
"383","suffocate-40.7"
"384","suspect-81"
"385","swarm-47.5.1"
"386","swarm-47.5.1-1"
"387","swarm-47.5.1-2"
"388","swarm-47.5.1-2-1"
"389","swat-18.2"
"390","talk-37.5"
"391","tape-22.4"
"392","tell-37.2"
"393","throw-17.1"
"394","throw-17.1-1"
"395","throw-17.1-1-1"
"396","tingle-40.8.2"
"397","touch-20"
"398","touch-20-1"
"399","transcribe-25.4"
"400","transfer_mesg-37.1.1"
"401","transfer_mesg-37.1.1-1"
"402","transfer_mesg-37.1.1-1-1"
"403","try-61"
"404","turn-26.6.1"
"405","turn-26.6.1-1"
"406","urge-58"
"407","vehicle-51.4.1"
"408","vehicle-51.4.1-1"
"409","waltz-51.5"
"410","want-32.1"
"411","want-32.1-1"
"412","want-32.1-1-1"
"413","weather-57"
"414","weekend-56"
"415","wink-40.3.1"
"416","wink-40.3.1-1"
"417","wipe_instr-10.4.2"
"418","wipe_instr-10.4.2-1"
"419","wipe_manner-10.4.1"
"420","wipe_manner-10.4.1-1"
"421","wish-62"
"422","withdraw-82"
"423","withdraw-82-1"
"424","withdraw-82-2"
"425","withdraw-82-3"
