"1","1069","202025550","1","1","1"
"2","1069","202025550","2","1","1"
"3","1069","202716767","1","1","0"
"4","1069","202716767","2","1","0"
"5","28637","201999798","1","1","1"
"6","28637","201999798","2","1","1"
"7","43601","202025829","1","1","1"
"8","43601","202025829","2","1","1"
"9","43601","202026086","1","1","1"
"10","43601","202026086","2","1","1"
"11","60564","201931768","1","1","0"
"12","60564","201931768","2","1","0"
"13","60564","201999798","1","1","1"
"14","60564","201999798","2","1","1"
"15","60564","201212230","1","1","1"
"16","60564","201212230","2","1","1"
"17","76102","201999798","1","1","1"
"18","76102","201999798","2","1","1"
"19","118759",\N,"1","1","1"
"20","118759",\N,"2","1","1"
"21","125531",\N,"1","1","1"
"22","125531",\N,"2","1","1"
"23","2035","201827858","3","2","1"
"24","2035","201827858","4","2","1"
"25","2035","201827858","5","2","1"
"26","2035","201827858","6","2","1"
"27","2035","201827858","7","2","1"
"28","2035","201827858","8","2","1"
"29","2096","201777817","3","2","1"
"30","2096","201777817","4","2","1"
"31","2096","201777817","5","2","1"
"32","2096","201777817","6","2","1"
"33","2096","201777817","7","2","1"
"34","2096","201777817","8","2","1"
"35","7085","201805982","3","2","1"
"36","7085","201805982","4","2","1"
"37","7085","201805982","5","2","1"
"38","7085","201805982","6","2","1"
"39","7085","201805982","7","2","1"
"40","7085","201805982","8","2","1"
"41","7085","202256109","3","2","1"
"42","7085","202256109","4","2","1"
"43","7085","202256109","5","2","1"
"44","7085","202256109","6","2","1"
"45","7085","202256109","7","2","1"
"46","7085","202256109","8","2","1"
"47","12431",\N,"3","2","1"
"48","12431",\N,"4","2","1"
"49","12431",\N,"5","2","1"
"50","12431",\N,"6","2","1"
"51","12431",\N,"7","2","1"
"52","12431",\N,"8","2","1"
"53","13571",\N,"3","2","1"
"54","13571",\N,"4","2","1"
"55","13571",\N,"5","2","1"
"56","13571",\N,"6","2","1"
"57","13571",\N,"7","2","1"
"58","13571",\N,"8","2","1"
"59","23781","201776214","3","2","1"
"60","23781","201776214","4","2","1"
"61","23781","201776214","5","2","1"
"62","23781","201776214","6","2","1"
"63","23781","201776214","7","2","1"
"64","23781","201776214","8","2","1"
"65","34774",\N,"3","2","1"
"66","34774",\N,"4","2","1"
"67","34774",\N,"5","2","1"
"68","34774",\N,"6","2","1"
"69","34774",\N,"7","2","1"
"70","34774",\N,"8","2","1"
"71","37072",\N,"3","2","1"
"72","37072",\N,"4","2","1"
"73","37072",\N,"5","2","1"
"74","37072",\N,"6","2","1"
