"200001740","17163","2"
"200001740","17163","8"
"200001740","110743","2"
"200001740","110743","8"
"200001740","128596","2"
"200001740","128596","8"
"200001740","129779","2"
"200001740","129779","8"
"200002325","110743","2"
"200002573","110743","2"
"200002724","24459","2"
"200002942","66609","2"
"200003133","66609","9"
"200003316","8744","8"
"200003431","12901","2"
"200003431","17953","2"
"200003431","18547","2"
"200003431","43478","2"
"200003662","50245","8"
"200003662","50245","11"
"200003826","63821","2"
"200003826","63823","2"
"200004032","119678","2"
"200004032","128596","2"
"200004227","17165","2"
"200004227","17165","8"
"200004227","44692","2"
"200004227","44692","8"
"200004227","44899","2"
"200004227","44899","8"
"200004492","64545","8"
"200004605","41784","8"
"200004605","41784","11"
"200004605","44692","8"
"200004605","44692","11"
"200004605","57904","8"
"200004605","57904","11"
"200004819","121777","2"
"200005041","17164","2"
"200005041","17164","8"
"200005041","69258","2"
"200005041","69258","8"
"200005041","69618","2"
"200005041","69618","8"
"200005526","52895","2"
"200005526","62747","2"
"200005526","96244","2"
"200005526","106152","2"
"200005815","30612","2"
"200005815","30612","8"
"200006100","61080","2"
"200006100","144497","2"
"200006238","30614","2"
"200006238","30615","2"
"200006238","44844","2"
"200006238","124019","2"
"200006238","124020","2"
"200006523","121849","2"
"200006697","144022","2"
"200006802","24863","2"
"200006802","65757","2"
"200006802","106152","2"
"200007012","15238","2"
"200007193","69719","8"
"200007328","146509","2"
"200007549","121792","2"
"200007549","121795","2"
"200007739","15032","2"
"200007739","90037","2"
"200007739","90039","2"
"200007739","145168","2"
"200008055","96058","2"
"200008195","12006","8"
"200008195","49788","8"
"200008299","145168","22"
"200008435","15032","8"
"200008435","15033","8"
"200008435","145168","8"
"200008602","124660","2"
"200008602","124662","2"
"200008799","124662","2"
"200008977","144991","2"
"200009147","45227","1"
"200009147","85987","1"
"200009147","86940","1"
"200009147","118626","1"
"200009147","121308","1"
"200009492","35732","1"
"200009492","97843","1"
"200009631","71962","2"
"200009631","71962","23"
"200009631","136572","2"
"200009631","136572","23"
"200009884","48028","1"
"200010054","87145","2"
"200010054","87145","23"
"200010054","87149","2"
"200010054","87149","23"
"200010241","1557","2"
"200010241","1562","2"
"200010435","1555","2"
"200010435","1555","7"
"200010435","12838","2"
"200010435","12838","7"
"200010435","38006","2"
"200010435","38006","7"
"200011361","13120","2"
"200011361","45658","2"
"200011551","104218","2"
"200011698","142388","2"
"200011698","142393","2"
"200011852","93563","2"
"200011852","93569","2"
"200011982","106998","2"
