"synsetid","wordid","sentenceid"
"200326049","96095","116"
"200326310","34503","116"
"200326310","51348","116"
"200326459","125984","116"
"200326619","115172","116"
"200326773","60103","116"
"200327010","63799","116"
"200327145","125443","116"
"200328128","15743","116"
"200328370","17594","116"
"200328370","94995","116"
"200328579","96094","116"
"200328679","104203","116"
"200333758","118575","13"
"200333907","118575","12"
"200334186","17075","7"
"200334186","17075","100"
"200334996","17075","6"
"200335366","50865","6"
"200335366","50865","100"
"200335923","121487","12"
"200336260","31077","13"
"200336260","31077","100"
"200336718","31077","12"
"200339085","32004","12"
"200345761","12809","137"
"200345761","12809","138"
"200345761","27668","138"
"200345761","57446","138"
"200345761","118069","138"
"200345761","125216","137"
"200345761","125216","138"
"200352826","42240","138"
"200352826","131395","111"
"200354845","36406","135"
"200360092","76301","15"
"200361797","15069","144"
"200364868","28589","104"
"200366275","28589","105"
"200366858","44307","104"
"200366858","44307","105"
"200366858","140423","104"
"200366858","140423","105"
"200369864","24072","104"
"200369864","29693","104"
"200369864","29694","104"
"200370412","24072","105"
"200370412","29693","105"
"200370412","29694","105"
"200370921","66874","143"
"200371264","62684","105"
"200371264","62713","105"
"200372665","62684","104"
"200372665","62713","104"
"200374135","51263","104"
"200374668","15743","105"
"200375021","15743","104"
"200375417","34484","116"
"200375690","49226","116"
"200375690","107382","116"
"200375865","51263","116"
"200376106","131777","116"
"200376106","138058","116"
"200377002","18513","7"
"200377002","18513","101"
"200378664","18513","147"
"200378664","18516","147"
"200378664","48629","147"
"200379154","31420","15"
"200379774","15049","144"
"200387919","32680","37"
"200389638","38959","159"
"200389638","42411","159"
"200398138","49964","18"
"200422090","6952","134"
"200426958","37031","14"
"200426958","37031","131"
"200426958","58428","131"
"200426958","140388","131"
"200429060","32688","145"
"200432061","36815","133"
"200432683","39297","133"
"200432839","45654","133"
"200432839","121379","133"
"200433069","136073","133"
"200433525","51872","134"
"200433525","143298","134"
"200433778","142720","134"
"200434374","17075","131"
"200434374","17082","131"
"200434374","28962","131"
"200434374","36406","131"
"200434374","45521","131"
"200434374","57914","131"
"200434374","58418","131"
"200438178","974","131"
"200438178","123554","131"
"200438178","123566","131"
"200449011","49631","104"
"200449011","49636","104"
"200449692","42081","86"
"200451648","38959","105"
"200452512","48376","49"
"200452512","48381","49"
"200453424","62596","49"
"200454251","127706","81"
"200454251","127706","82"
"200456151","121954","82"
"200456740","48990","117"
"200456740","82522","117"
"200470701","41641","140"
"200479060","39364","140"
"200479176","82401","140"
"200479176","87188","140"
"200479176","121003","140"
"200484166","28214","111"
"200484166","48588","138"
"200497705","67854","81"
"200497705","67854","82"
"200497705","115066","81"
"200498163","39101","80"
"200502757","47581","147"
"200502757","47886","147"
"200519751","116992","104"
"200520019","37788","15"
"200520019","70172","15"
"200528608","108050","133"
"200528608","108050","135"
"200528608","108854","133"
"200528608","108854","135"
"200543410","35916","14"
"200543410","60366","14"
"200544404","101875","116"
"200559390","32004","13"
"200560893","119213","146"
"200564695","49964","19"
"200564695","49964","101"
"200564695","49965","19"
"200564695","49965","101"
"200564857","31304","19"
"200564857","31304","101"
"200564857","31586","19"
"200564857","31586","101"
"200564857","31995","19"
"200564857","31995","101"
"200564857","113372","19"
"200564857","113372","101"
"200564857","146056","19"
"200564857","146056","101"
"200588221","59462","111"
"200588221","59462","139"
"200588888","137704","111"
"200588888","137704","139"
"200589738","50013","139"
"200590924","36525","139"
"200591115","108757","112"
"200591115","116926","112"
"200593522","69016","112"
"200593522","137704","123"
"200594337","74296","98"
"200594621","74296","14"
"200596644","74296","32"
"200597915","76239","137"
"200598954","37205","112"
"200598954","48504","112"
"200598954","57508","112"
"200598954","62599","112"
"200598954","76239","112"
"200600370","762","159"
"200600370","42429","98"
"200600370","42429","159"
"200600370","42518","159"
"200600370","92146","98"
"200604576","83565","111"
"200607780","108879","111"
"200607780","110096","111"
"200607780","110972","111"
"200608808","132195","14"
"200609100","50434","111"
"200609683","110096","137"
"200610010","110862","111"
"200610167","50434","111"
"200610538","110109","123"
"200610928","88354","123"
"200613018","50434","38"
"200613018","76301","38"
"200613248","72116","15"
"200613683","76301","34"
"200613683","76301","38"
"200614057","35596","15"
"200614057","50545","15"
"200614829","50434","137"
"200616153","89192","15"
"200619869","85398","139"
"200619869","85456","111"
"200619869","85456","139"
"200619869","85587","111"
"200619869","85587","139"
"200620379","85654","159"
"200620379","126941","159"
"200621734","12626","159"
"200621734","28782","159"
"200622384","4461","126"
"200622384","4461","127"
"200622384","10821","126"
"200622384","10821","127"
"200622384","10821","159"
"200622384","13576","126"
"200622384","13576","127"
"200622384","13576","159"
"200622384","39699","126"
"200622384","39699","127"
"200622384","49725","126"
"200622384","49725","127"
"200622384","88258","126"
"200622384","88258","127"
"200622384","88258","159"
"200622384","90851","126"
"200622384","90851","127"
"200622384","98706","126"
"200622384","98706","127"
"200622384","98706","159"
"200622384","106745","126"
"200622384","106745","127"
"200622384","106745","159"
"200622384","126970","126"
"200622384","126970","127"
"200623151","70140","111"
"200623151","70140","139"
"200624140","109889","111"
"200624140","109889","139"
"200624801","85456","111"
"200624801","85456","139"
"200624801","85500","111"
"200624801","85500","139"
"200626428","108664","95"
"200626428","108664","96"
"200628125","29857","111"
"200628125","29862","111"
"200628125","127191","111"
"200631737","60533","112"
"200631737","67423","112"
"200631737","108970","112"
"200633443","28924","112"
"200633443","66743","112"
"200633443","66748","112"
"200633443","123520","112"
"200633443","131949","112"
"200633443","131953","112"
"200634472","28535","112"
"200634472","108804","112"
"200644583","5225","139"
"200644583","5242","139"
"200644583","44508","139"
"200644583","126913","139"
"200646271","44933","166"
"200646442","101719","166"
"200646442","101719","167"
"200648071","105293","166"
"200648071","105293","167"
"200648224","44933","113"
"200658052","108393","139"
"200661824","23533","166"
"200661824","23533","167"
"200661824","23538","111"
"200661824","23541","111"
"200661824","23542","111"
"200661824","23546","111"
"200661824","58454","111"
"200661824","79051","111"
"200661824","128599","111"
"200668099","536","15"
"200668099","12431","15"
"200668099","17696","15"
"200668099","42375","15"
"200668099","125026","15"
"200668099","126120","15"
"200668099","127682","15"
"200668099","133638","15"
"200674607","24523","123"
"200674607","100017","123"
"200674607","117067","123"
"200674607","129777","123"
"200679239","120185","123"
"200679389","24523","123"
"200679389","103879","123"
"200683280","12933","123"
"200683670","18879","111"
"200683771","64545","112"
"200687295","38713","112"
"200687295","38713","113"
"200687926","37784","140"
"200687926","85582","140"
"200688377","135859","15"
"200689344","12933","112"
"200689344","132195","112"
"200694068","43702","15"
"200694068","104594","116"
"200694068","104670","116"
"200694068","110711","15"
"200694068","140293","15"
"200697589","34272","137"
"200697589","35835","137"
"200699626","110684","137"
"200704249","17687","160"
"200704690","101090","139"
"200705227","101090","137"
"200705517","2985","137"
"200705517","8748","137"
"200706975","28251","137"
"200706975","29144","137"
"200708128","101655","137"
"200708538","69831","137"
"200708538","82961","137"
"200708538","132195","137"
"200709205","142733","123"
"200711550","42448","115"
"200711932","33355","129"
"200711932","101395","129"
"200711932","135326","129"
"200714884","34131","14"
"200714884","34131","15"
"200715239","47599","112"
"200715239","48501","112"
"200717045","69581","112"
"200719734","6357","138"
"200719734","44834","137"
"200721098","12933","112"
"200721302","8514","112"
"200724832","4461","127"
"200724832","4461","159"
"200724832","8994","127"
"200724832","8994","159"
"200724832","9000","127"
"200724832","9000","159"
"200725274","128504","126"
"200725274","128504","127"
"200726153","15727","126"
"200726153","15727","127"
"200726153","15727","159"
"200726153","16592","126"
"200726153","16592","127"
"200726153","16592","159"
"200726153","49080","126"
"200726153","49080","127"
"200726153","49080","159"
"200734790","101157","111"
"200736799","108611","115"
"200742320","28027","94"
"200743082","109970","93"
"200743082","109970","94"
"200746718","42541","123"
"200746718","93747","123"
"200746718","131023","123"
"200747640","12809","111"
"200749205","36909","123"
"200751567","27635","123"
"200751567","110536","123"
"200752493","8655","123"
"200753428","110530","123"
"200753428","110530","137"
"200754731","99018","137"
"200754942","34941","137"
"200755745","8655","123"
"200755745","44834","123"
"200755745","110536","123"
"200756338","25452","137"
"200757192","106576","137"
"200759269","12787","123"
"200759269","12787","137"
"200759269","67785","123"
"200759269","103662","137"
"200759501","101466","137"
"200760956","7354","14"
"200760956","69880","14"
"200760956","69880","129"
"200760956","77195","14"
"200760956","77195","129"
"200760956","83127","14"
"200761713","89205","14"
"200761713","89205","129"
"200761713","89209","14"
"200761713","89209","129"
"200762889","65312","14"
"200762889","65312","129"
"200763009","96774","14"
"200763009","96774","129"
"200763136","103524","14"
"200763136","103524","129"
"200763260","95886","14"
"200763260","95886","129"
"200764222","2864","137"
"200765396","7057","137"
"200765649","44722","15"
"200765649","44722","123"
"200765649","104158","15"
"200765649","104158","123"
"200765649","139775","15"
"200765649","139775","123"
"200765649","139777","15"
"200765977","12445","15"
"200765977","106626","15"
"200766289","91553","123"
"200766418","98837","123"
"200767334","17383","123"
"200767530","10800","123"
"200767635","117332","111"
"200768778","19276","124"
"200768778","26607","124"
"200768778","128908","124"
"200768778","143997","124"
"200769355","122254","14"
"200769453","122254","124"
"200769553","29596","15"
"200769553","29596","159"
"200769553","29629","123"
"200769553","144990","15"
"200769553","144990","159"
"200769989","16841","123"
"200770141","35820","15"
"200770141","35820","123"
"200770141","37684","15"
"200770141","37684","123"
"200770437","22084","123"
"200770437","57446","123"
"200770437","68791","123"
"200770437","80925","123"
"200770437","125917","123"
"200771341","42205","123"
"200771632","76102","123"
"200771961","69618","123"
"200771961","69658","123"
"200771961","105069","123"
"200772189","7698","14"
"200772189","7698","129"
"200772189","108804","14"
"200772189","108804","129"
"200773432","7698","14"
"200773432","7698","129"
"200773922","123274","14"
"200773922","123274","129"
"200774056","13683","14"
"200774056","13683","129"
"200774056","107365","14"
"200774056","107365","129"
"200774344","17008","14"
"200774817","123354","14"
"200774817","123354","129"
"200775156","107128","14"
"200775156","107128","129"
"200775831","93489","15"
"200776523","23416","124"
"200776523","69110","123"
"200776523","131135","123"
"200777931","67812","123"
"200777931","69581","137"
"200779360","17163","14"
"200779360","110764","14"
"200782527","42720","123"
"200784342","8655","113"
"200784342","42602","113"
"200784342","69469","113"
"200785962","70466","113"
"200787876","124203","95"
"200788564","104713","166"
"200788564","104713","167"
"200789138","70466","168"
"200789448","19515","15"
"200789448","19515","97"
"200789448","19544","15"
"200789448","19544","97"
"200789448","99542","15"
"200789448","99542","97"
"200789448","111832","15"
"200789448","111832","97"
"200789448","130933","15"
"200789448","130933","97"
"200790965","131016","93"
"200790965","131016","94"
"200792471","19515","15"
"200792471","117518","15"
"200793580","13716","123"
"200793580","70512","123"
"200793785","131135","123"
"200794079","105536","123"
"200794640","19536","123"
"200795863","37027","139"
"200795863","50232","139"
"200795863","69920","139"
"200795863","104979","139"
"200795863","141337","139"
"200797430","34353","137"
"200797430","109701","137"
"200802318","4038","123"
"200802318","98643","123"
"200805376","2864","14"
"200805376","2864","129"
"200805376","28568","14"
"200805376","28568","129"
"200808855","70219","15"
"200808855","107343","15"
"200809248","70219","15"
"200809453","70219","14"
"200812580","34131","14"
"200812580","34131","120"
