"11","8.1","0.2","NP-ADVP-PRED","","<NP value=\"Agent\"><SYNRESTRS/></NP><VERB/><NP value=\"Theme\"><SYNRESTRS/></NP><NP value=\"Location\"><SYNRESTRS><SYNRESTR Value=\"+\" type=\"adv_loc\"/></SYNRESTRS></NP>","<PRED value=\"admit\"><ARGS><ARG type=\"Event\" value=\"during(E)\"/><ARG type=\"ThemRole\" value=\"Agent\"/><ARG type=\"ThemRole\" value=\"Theme\"/><ARG type=\"ThemRole\" value=\"Location\"/></ARGS></PRED>"
"12","8.1","0.1","NP-PP","locative-PP","<NP value=\"Agent\"><SYNRESTRS/></NP><VERB/><NP value=\"Theme\"><SYNRESTRS/></NP><PREP><SELRESTRS><SELRESTR Value=\"+\" type=\"loc\"/></SELRESTRS></PREP><NP value=\"Location\"><SELRESTRS logic=\"or\"><SELRESTR Value=\"+\" type=\"location\"/><SELRESTR Value=\"-\" type=\"region\"/></SELRESTRS></NP>","<PRED value=\"admit\"><ARGS><ARG type=\"Event\" value=\"during(E)\"/><ARG type=\"ThemRole\" value=\"Agent\"/><ARG type=\"ThemRole\" value=\"Theme\"/><ARG type=\"ThemRole\" value=\"Location\"/></ARGS></PRED>"
"13","0.2","0.2","Basic Transitive","","<NP value=\"Agent\"><SYNRESTRS/></NP><VERB/><NP value=\"Theme\"><SYNRESTRS/></NP>","<PRED value=\"adopt\"><ARGS><ARG type=\"Event\" value=\"during(E)\"/><ARG type=\"ThemRole\" value=\"Agent\"/><ARG type=\"ThemRole\" value=\"Theme\"/></ARGS></PRED>"
"14","0.2","0.2","Basic Transitive","Recipient Object","<NP value=\"Agent\"><SYNRESTRS/></NP><VERB/><NP value=\"Recipient\"><SYNRESTRS/></NP>","<PRED value=\"transfer_info\"><ARGS><ARG type=\"Event\" value=\"during(E)\"/><ARG type=\"ThemRole\" value=\"Agent\"/><ARG type=\"ThemRole\" value=\"Recipient\"/><ARG type=\"ThemRole\" value=\"?Topic\"/></ARGS></PRED><PRED value=\"cause\"><ARGS><ARG type=\"ThemRole\" value=\"Agent\"/><ARG type=\"Event\" value=\"E\"/></ARGS></PRED>"
"15","0.2","","NP-PP","against/about-PP","<NP value=\"Agent\"><SYNRESTRS/></NP><VERB/><NP value=\"Recipient\"><SYNRESTRS/></NP><PREP value=\"against about concerning on regarding respecting\"><SELRESTRS/></PREP><NP value=\"Topic\"><SYNRESTRS/></NP>","<PRED value=\"transfer_info\"><ARGS><ARG type=\"Event\" value=\"during(E)\"/><ARG type=\"ThemRole\" value=\"Agent\"/><ARG type=\"ThemRole\" value=\"Recipient\"/><ARG type=\"ThemRole\" value=\"Topic\"/></ARGS></PRED><PRED value=\"cause\"><ARGS><ARG type=\"ThemRole\" value=\"Agent\"/><ARG type=\"Event\" value=\"E\"/></ARGS></PRED>"
"16","0.5","","NP-S","Recipient Object","<NP value=\"Agent\"><SYNRESTRS/></NP><VERB/><NP value=\"Recipient\"><SYNRESTRS/></NP><NP value=\"Topic\"><SYNRESTRS><SYNRESTR Value=\"+\" type=\"that_comp\"/></SYNRESTRS></NP>","<PRED value=\"transfer_info\"><ARGS><ARG type=\"Event\" value=\"during(E)\"/><ARG type=\"ThemRole\" value=\"Agent\"/><ARG type=\"ThemRole\" value=\"Recipient\"/><ARG type=\"ThemRole\" value=\"Topic\"/></ARGS></PRED><PRED value=\"cause\"><ARGS><ARG type=\"ThemRole\" value=\"Agent\"/><ARG type=\"Event\" value=\"E\"/></ARGS></PRED>"
"17","8.1","","NP-HOW-TO-INF","Recipient Object","<NP value=\"Agent\"><SYNRESTRS/></NP><VERB/><NP value=\"Recipient\"><SYNRESTRS/></NP><NP value=\"Topic\"><SYNRESTRS><SYNRESTR Value=\"+\" type=\"wh_inf\"/></SYNRESTRS></NP>","<PRED value=\"transfer_info\"><ARGS><ARG type=\"Event\" value=\"during(E)\"/><ARG type=\"ThemRole\" value=\"Agent\"/><ARG type=\"ThemRole\" value=\"Recipient\"/><ARG type=\"ThemRole\" value=\"Topic\"/></ARGS></PRED><PRED value=\"cause\"><ARGS><ARG type=\"ThemRole\" value=\"Agent\"/><ARG type=\"Event\" value=\"E\"/></ARGS></PRED>"
"18","0.3","","NP-QUOT","Recipient Object","<NP value=\"Agent\"><SYNRESTRS/></NP><VERB/><NP value=\"Recipient\"><SYNRESTRS/></NP><NP value=\"Topic\"><SYNRESTRS><SYNRESTR Value=\"+\" type=\"quotation\"/></SYNRESTRS></NP>","<PRED value=\"transfer_info\"><ARGS><ARG type=\"Event\" value=\"during(E)\"/><ARG type=\"ThemRole\" value=\"Agent\"/><ARG type=\"ThemRole\" value=\"Recipient\"/><ARG type=\"ThemRole\" value=\"Topic\"/></ARGS></PRED><PRED value=\"cause\"><ARGS><ARG type=\"ThemRole\" value=\"Agent\"/><ARG type=\"Event\" value=\"E\"/></ARGS></PRED>"
"19","","","NP-PP","of-PP","<NP value=\"Agent\"><SYNRESTRS/></NP><VERB/><NP value=\"Recipient\"><SYNRESTRS/></NP><PREP value=\"of\"><SELRESTRS/></PREP><NP value=\"Topic\"><SYNRESTRS/></NP>","<PRED value=\"transfer_info\"><ARGS><ARG type=\"Event\" value=\"during(E)\"/><ARG type=\"ThemRole\" value=\"Agent\"/><ARG type=\"ThemRole\" value=\"Recipient\"/><ARG type=\"ThemRole\" value=\"Topic\"/></ARGS></PRED><PRED value=\"cause\"><ARGS><ARG type=\"ThemRole\" value=\"Agent\"/><ARG type=\"Event\" value=\"E\"/></ARGS></PRED>"
"20","0.1","","PP","against/about-PP","<NP value=\"Agent\"><SYNRESTRS/></NP><VERB/><PREP value=\"against about concerning on regarding respecting\"><SELRESTRS/></PREP><NP value=\"Topic\"><SYNRESTRS/></NP>","<PRED value=\"transfer_info\"><ARGS><ARG type=\"Event\" value=\"during(E)\"/><ARG type=\"ThemRole\" value=\"Agent\"/><ARG type=\"ThemRole\" value=\"?Recipient\"/><ARG type=\"ThemRole\" value=\"Topic\"/></ARGS></PRED><PRED value=\"cause\"><ARGS><ARG type=\"ThemRole\" value=\"Agent\"/><ARG type=\"Event\" value=\"E\"/></ARGS></PRED>"
