"mapid","synsetid","synsetid2","score"
"57431","110562592","110023539","100"
"57432","104424087","104304296","100"
"57433","104424177","104304386","100"
"57434","100455991","100436966","100"
"57435","104424264","104304473","100"
"57436","100599821","100572038","100"
"57437","113221834","112635693","100"
"57438","113222264","112636123","100"
"57439","113222379","112636238","100"
"57440","106322829","106010946","100"
"57441","106684827","106359602","100"
"57442","108519412","108112263","100"
"57443","104927519","104725165","100"
"57444","113121135","112536333","100"
"57445","103320115","103233672","100"
"57446","112993746","112410108","100"
"57447","102209076","102145191","100"
"57448","113727024","113123855","100"
"57449","109325385","108865448","100"
"57450","113016597","112432738","100"
"57451","104424505","104304714","100"
"57452","110567160","110027980","100"
"57453","101860232","101798500","100"
"57454","101663304","101602767","100"
"57455","113070300","112486376","100"
"57456","102472664","102406297","100"
"57457","102434594","102369074","100"
"57458","102333566","102269519","100"
"57459","112941841","112359618","100"
"57460","100908329","100866518","100"
"57461","101631967","101571570","100"
"57462","112995758","112411931","100"
"57463","102238184","102174266","100"
"57464","112938143","112356082","100"
"57465","104424605","104304814","100"
"57466","112958343","112375616","100"
"57467","104424922","104305131","100"
"57468","104425051","104305260","100"
"57469","110567481","110028283","100"
"57470","101905976","101843599","100"
"57471","100855832","100816247","100"
"57472","110341012","109814494","100"
"57473","114085405","113465860","100"
"57474","113818438","113206507","100"
"57475","112892421","112311033","100"
"57476","112892298","112310910","100"
"57477","112892654","112311266","100"
"57478","114532002","113884774","100"
"57479","104425585","104305794","100"
"57480","113953855","113336521","100"
"57481","104425826","104306035","100"
"57482","113936817","113320095","100"
"57483","105713304","105449950","100"
"57484","106710019","106383414","100"
"57485","101241331","101187195","100"
"57486","108688183","108269941","100"
"57487","108688336","108270093","100"
"57488","100683567","100652755","100"
"57489","104426065","104306274","100"
"57490","107419619","107060551","100"
"57491","101365341","101307299","100"
"57492","100723804","100691854","100"
"57493","100723985","100692035","100"
"57494","100724340","100692390","100"
"57495","100724473","100692523","100"
"57496","105196952","104956762","100"
"57497","104426478","104306687","100"
"57498","104426572","104306781","100"
"57499","104426680","104306889","100"
"57500","104426842","104307051","100"
"57501","114881297","114224804","100"
"57502","114426878","113783938","100"
"57503","114639733","113990244","100"
"57504","101003149","100958142","100"
"57505","100635183","100605391","100"
"57506","110567898","110028700","100"
"57507","113238262","112652032","100"
"57508","101181438","101130169","100"
"57509","108221872","107829056","100"
"57510","110568060","110028862","100"
"57511","105727907","105464223","100"
"57512","113700511","113098214","100"
"57513","105013336","104796540","100"
"57514","109325939","108865996","100"
"57515","114927993","114269986","100"
"57516","114881143","114224650","100"
"57517","100845432","100806190","100"
"57518","110012856","109509755","100"
"57519","108174606","107787989","100"
"57520","100378778","100365575","100"
"57521","114417553","113775021","100"
"57522","114882859","114226366","100"
"57523","108258351","107863012","100"
"57524","110568161","110028963","100"
"57525","110568264","110029066","100"
"57526","106054516","105767747","100"
"57527","104427675","104307865","100"
"57528","107272010","106921030","100"
"57529","108214856","107822581","100"
"57530","100599924","100572123","100"
"57531","109146143","108700514","100"
"57532","114594073","113945739","100"
"57533","105510250","105260369","100"
"57534","101685938","101625360","100"
"57535","101913217","101850823","100"
"57536","114881423","114224930","100"
"57537","114819519","114164764","100"
"57538","101342988","101285302","100"
"57539","112849358","112268060","100"
"57540","112849039","112267741","100"
"57541","112848390","112267092","100"
"57542","112848561","112267263","100"
"57543","112849183","112267885","100"
"57544","112848930","112267632","100"
"57545","101403131","101344389","100"
"57546","113997905","113379812","100"
"57547","102247672","102183772","100"
"57548","109051382","108611434","100"
"57549","111354614","110778521","100"
"57550","114263341","113635062","100"
"57551","107094379","106750445","100"
"57552","107331013","106977674","100"
"57553","104428327","104308517","100"
"57554","104428477","104308667","100"
"57555","104428708","104308898","100"
"57556","104428828","104309018","100"
"57557","104428924","104309114","100"
"57558","104429074","104309264","100"
"57559","104429524","104309714","100"
"57560","114881670","114225177","100"
"57561","110568867","110029481","100"
"57562","112986739","112403618","100"
"57563","111586417","111007416","100"
"57564","111586417","111007765","100"
"57565","100384845","100371568","100"
"57566","105934444","105657334","100"
"57567","102628909","102561878","100"
"57568","102626177","102559146","100"
"57569","114688633","114037456","100"
"57570","112406103","111825543","100"
"57571","110568979","110029593","100"
"57572","105165575","104926518","100"
"57573","106275213","105965746","100"
"57574","103544073","103451021","100"
"57575","113695044","113092933","100"
"57576","111860487","111281031","100"
"57577","112300079","111719738","100"
"57578","101749543","101688584","100"
"57579","107877578","107503227","100"
"57580","104429856","104310046","100"
"57581","114881907","114225414","100"
"57582","104430573","104310763","100"
"57583","104430133","104310323","100"
"57584","104430328","104310518","100"
"57585","103318998","103232574","100"
"57586","114304928","113672634","100"
"57587","107878370","107504009","100"
"57588","101024372","100978283","100"
"57589","108632836","108218730","100"
"57590","113493871","112902155","100"
"57591","110569248","110029843","100"
"57592","110578324","110038057","100"
"57593","106148649","105851410","100"
"57594","109326264","108866323","100"
"57595","114993509","114332986","100"
"57596","104430981","104311171","100"
"57597","114496030","113849777","100"
"57598","114882037","114225544","100"
"57599","104431502","104311692","100"
"57600","104431197","104311387","100"
"57601","114882280","114225787","100"
"57602","114882389","114225896","100"
"57603","114882494","114226001","100"
"57604","115041315","114379379","100"
"57605","106317280","106005653","100"
"57606","107745496","107377552","100"
"57607","108589808","108178166","100"
"57608","100559094","100535758","100"
"57609","107803212","107433372","100"
"57610","108342646","107945104","100"
"57611","102611934","102544908","100"
"57612","104431330","104311520","100"
"57613","113395900","112805729","100"
"57614","104431632","104311822","100"
"57615","107100802","106756616","100"
"57616","104431973","104312163","100"
"57617","104432300","104312490","100"
"57618","114882683","114226190","100"
"57619","114193182","113570110","100"
"57620","104432434","104312624","100"
"57621","114379332","113738717","100"
"57622","114311944","113678644","100"
"57623","110392715","109863026","100"
"57624","106221144","105916678","100"
"57625","105579878","105324568","100"
"57626","106142747","105845897","100"
"57627","110569614","110030209","100"
"57628","111975617","111396072","100"
"57629","114417677","113775145","100"
"57630","104432604","104312794","100"
"57631","110569799","110030376","100"
"57632","107878735","107504373","100"
"57633","105504797","105255344","100"
"57634","106998359","106659177","100"
"57635","101566603","101506862","100"
"57636","101824990","101763528","100"
"57637","101293501","101237769","100"
"57638","109650311","109171992","100"
"57639","104433818","104313971","100"
"57640","100449812","100430679","100"
"57641","114263255","113634976","100"
