"1","1069","202025550","1","1","2","1","1"
"2","1069","202025550","1","1","3","2","1"
"3","1069","202025550","1","1","1","1","1"
"4","1069","202716767","1","2","2","1","0"
"5","1069","202716767","1","2","3","2","0"
"6","1069","202716767","1","2","1","1","0"
"7","28637","201999798","1","3","2","1","1"
"8","28637","201999798","1","3","3","2","1"
"9","28637","201999798","1","3","1","1","1"
"10","43601","202025829","1","4","2","1","1"
"11","43601","202025829","1","4","3","2","1"
"12","43601","202025829","1","4","1","1","1"
"13","43601","202026086","1","5","2","1","1"
"14","43601","202026086","1","5","3","2","1"
"15","43601","202026086","1","5","1","1","1"
"16","60564","201931768","1","6","2","1","0"
"17","60564","201931768","1","6","3","2","0"
"18","60564","201931768","1","6","1","1","0"
"19","60564","201999798","1","7","2","1","1"
"20","60564","201999798","1","7","3","2","1"
"21","60564","201999798","1","7","1","1","1"
"22","60564","201212230","1","8","2","1","1"
"23","60564","201212230","1","8","3","2","1"
"24","60564","201212230","1","8","1","1","1"
"25","76102","201999798","1","9","2","1","1"
"26","76102","201999798","1","9","3","2","1"
"27","76102","201999798","1","9","1","1","1"
"28","118759",\N,"1","10","2","1","1"
"29","118759",\N,"1","10","3","2","1"
"30","118759",\N,"1","10","1","1","1"
"31","125531",\N,"1","11","2","1","1"
"32","125531",\N,"1","11","3","2","1"
"33","125531",\N,"1","11","1","1","1"
"34","2035","201827858","2","12","5","2","1"
"35","2035","201827858","2","12","2","2","1"
"36","2035","201827858","2","12","4","1","1"
"37","2096","201777817","2","13","5","2","1"
"38","2096","201777817","2","13","2","2","1"
"39","2096","201777817","2","13","4","1","1"
"40","7085","201805982","2","14","5","2","1"
"41","7085","201805982","2","14","2","2","1"
"42","7085","201805982","2","14","4","1","1"
"43","7085","202256109","2","15","5","2","1"
"44","7085","202256109","2","15","2","2","1"
"45","7085","202256109","2","15","4","1","1"
"46","12431",\N,"2","16","5","2","1"
"47","12431",\N,"2","16","2","2","1"
"48","12431",\N,"2","16","4","1","1"
"49","13571",\N,"2","17","5","2","1"
"50","13571",\N,"2","17","2","2","1"
"51","13571",\N,"2","17","4","1","1"
"52","23781","201776214","2","18","5","2","1"
"53","23781","201776214","2","18","2","2","1"
"54","23781","201776214","2","18","4","1","1"
"55","34774",\N,"2","19","5","2","1"
"56","34774",\N,"2","19","2","2","1"
"57","34774",\N,"2","19","4","1","1"
"58","37072",\N,"2","20","5","2","1"
"59","37072",\N,"2","20","2","2","1"
"60","37072",\N,"2","20","4","1","1"
"61","43702","200694068","2","21","5","2","1"
"62","43702","200694068","2","21","2","2","1"
"63","43702","200694068","2","21","4","1","1"
"64","44499","200860620","2","22","5","2","1"
"65","44499","200860620","2","22","2","2","1"
"66","44499","200860620","2","22","4","1","1"
"67","47030","201776468","2","23","5","2","1"
"68","47030","201776468","2","23","2","2","1"
"69","47030","201776468","2","23","4","1","1"
"70","47375","202464725","2","24","5","2","1"
"71","47375","202464725","2","24","2","2","1"
"72","47375","202464725","2","24","4","1","1"
"73","47375","202453692","2","25","5","2","1"
"74","47375","202453692","2","25","2","2","1"
"75","47375","202453692","2","25","4","1","1"
"76","47375","202400037","2","26","5","2","1"
"77","47375","202400037","2","26","2","2","1"
"78","47375","202400037","2","26","4","1","1"
"79","60399",\N,"2","27","5","2","1"
"80","60399",\N,"2","27","2","2","1"
"81","60399",\N,"2","27","4","1","1"
"82","67135","201778017","2","28","5","2","1"
"83","67135","201778017","2","28","2","2","1"
"84","67135","201778017","2","28","4","1","1"
