"300553478","28576","a"
"300554098","9149","p"
"300555859","29362","p"
"300555859","29364","p"
"300555859","35339","p"
"300555859","35340","p"
"300555859","35345","p"
"300555859","35346","p"
"300555859","35348","p"
"300556881","31964","a"
"300556881","125194","a"
"300558951","119440","p"
"300562909","94772","p"
"300566342","89231","a"
"300567860","6677","p"
"300572714","74276","p"
"300572714","94744","p"
"300574884","125094","a"
"300577405","106604","p"
"300578234","9132","p"
"300580039","32037","a"
"300592754","113432","a"
"300599468","103042","p"
"300603194","2870","p"
"300612383","83872","a"
"300612980","107700","a"
"300622468","122388","a"
"300637645","125405","a"
"300638396","16486","p"
"300640660","119140","p"
"300646117","129970","a"
"300649228","47349","a"
"300649892","7082","a"
"300664879","145526","a"
"300666784","2528","p"
"300666960","25163","a"
"300667079","104075","a"
"300667936","93011","a"
"300668816","10596","a"
"300670418","32571","p"
"300670418","126887","p"
"300675928","4304","a"
"300675928","4306","a"
"300676093","4304","a"
"300680634","74277","a"
"300682744","62604","a"
"300684782","34275","a"
"300684782","35839","a"
"300686356","92982","p"
"300686890","8820","a"
"300688074","10258","a"
"300688074","104862","a"
"300688296","104862","a"
"300689215","67989","p"
"300691497","142585","a"
"300700884","22756","a"
"300702642","93049","a"
"300703615","38780","p"
"300710741","61954","p"
"300710741","61977","a"
"300720524","60810","a"
"300722386","88458","a"
"300723395","29002","p"
"300730215","80820","a"
"300733297","67964","p"
"300734798","145248","p"
"300735195","145248","p"
"300735882","38398","p"
"300735882","58819","a"
"300735882","73238","p"
"300737515","73557","p"
"300748563","129970","a"
"300752714","69154","p"
"300755742","64357","a"
"300759826","6959","a"
"300762168","132650","a"
"300763407","82971","a"
"300763407","142714","a"
"300766102","124546","a"
"300776706","132676","p"
"300786031","68749","p"
"300793426","8871","a"
"300793682","137573","a"
"300805115","3754","p"
"300811248","6637","p"
"300811248","39998","p"
"300811536","67643","p"
"300811536","108325","p"
"300813915","2182","a"
"300813915","12779","p"
"300815227","104288","p"
"300815586","105416","a"
"300816324","84607","a"
"300819235","75709","a"
"300819526","2184","a"
"300832784","67971","p"
"300832784","67980","p"
"300833018","68017","p"
"300833018","93372","a"
"300848983","68452","p"
"300855309","63656","p"
"300864461","92986","p"
"300864461","145840","a"
"300866182","37006","p"
"300869690","16571","p"
